rank,abbrv,country,eci_value,delta,year,growth_proj_annual_2023
1,JPN,Japan,2.348182,0,2013,2.13
2,CHE,Switzerland,2.331362,0,2013,3.62
3,DEU,Germany,2.03559,0,2013,-1.33
4,KOR,"Korea, Rep.",1.92968,1,2013,3.85
5,SWE,Sweden,1.817256,-1,2013,2.6
6,FIN,Finland,1.795841,2,2013,3.19
7,AUT,Austria,1.774102,0,2013,1.6
8,CZE,Czech Republic,1.760193,-2,2013,3.02
9,GBR,United Kingdom,1.705925,0,2013,3.36
10,SVK,Slovak Republic,1.661978,6,2013,3.69
11,SGP,Singapore,1.613748,-1,2013,
12,SVN,Slovenia,1.567092,1,2013,3.19
13,USA,United States,1.547081,-2,2013,2.09
14,HUN,Hungary,1.536528,-2,2013,3.33
15,FRA,France,1.486373,-1,2013,2.37
16,ITA,Italy,1.419673,-1,2013,1.62
17,IRL,Ireland,1.33331,1,2013,3.09
18,BLR,Belarus,1.213434,3,2013,3.91
19,BEL,Belgium,1.211032,1,2013,2.74
20,DNK,Denmark,1.177209,-3,2013,2.73
21,ISR,Israel,1.114842,-2,2013,4.38
22,CHN,China,1.113481,1,2013,4.56
23,MEX,Mexico,1.079153,2,2013,4.43
24,POL,Poland,1.070204,-2,2013,3.42
25,NLD,Netherlands,1.016873,-1,2013,2.84
26,THA,Thailand,0.9931926,2,2013,4.89
27,ESP,Spain,0.9562754,-1,2013,3.6
28,ROU,Romania,0.8936864,-1,2013,
29,EST,Estonia,0.8757979,4,2013,3.28
30,HRV,Croatia,0.872358,1,2013,3.19
31,HKG,Hong Kong,0.8635684,-1,2013,
32,MYS,Malaysia,0.7874141,-3,2013,4.89
33,NOR,Norway,0.7056139,10,2013,1.61
34,LTU,Lithuania,0.6975712,-2,2013,2.91
35,PRT,Portugal,0.6482422,2,2013,3.5
36,BIH,Bosnia and Herzegovina,0.6203384,4,2013,3.63
37,BGR,Bulgaria,0.6141351,2,2013,3.49
38,CAN,Canada,0.5880209,-2,2013,3.02
39,LVA,Latvia,0.5683572,-4,2013,2.99
40,SRB,Serbia,0.5579252,-2,2013,3.87
41,UKR,Ukraine,0.4653941,0,2013,3.65
42,TUR,Turkey,0.437269,0,2013,5.29
43,RUS,Russia,0.4005627,4,2013,2.51
44,PAN,Panama,0.3535757,-10,2013,
45,PHL,Philippines,0.3212904,-1,2013,5.53
46,LBN,Lebanon,0.2759996,4,2013,3.87
47,IND,India,0.257486,-1,2013,7.89
48,GRC,Greece,0.1727422,-3,2013,3.14
49,TUN,Tunisia,0.1689951,-1,2013,4.18
50,JOR,Jordan,0.1332699,-1,2013,4.78
51,BRA,Brazil,0.1029131,3,2013,3.62
52,URY,Uruguay,0.0487153,4,2013,2.41
53,COL,Colombia,0.0366673,4,2013,3.33
54,NZL,New Zealand,0.0150814,-2,2013,2.01
55,CRI,Costa Rica,0.0146312,-2,2013,2.94
56,SLV,El Salvador,-0.0121301,3,2013,3.5
57,ARE,United Arab Emirates,-0.0362714,11,2013,2.53
58,SAU,Saudi Arabia,-0.0448647,7,2013,2.66
59,MDA,Moldova,-0.0730508,-8,2013,2.76
60,ZAF,South Africa,-0.0899121,1,2013,2.96
61,MUS,Mauritius,-0.102321,8,2013,2.31
62,GEO,Georgia,-0.1137857,5,2013,1.9
63,SYR,Syrian Arab Republic,-0.1217656,-5,2013,
64,IDN,Indonesia,-0.1392084,-2,2013,5.15
65,MKD,Macedonia,-0.1414956,-2,2013,2.53
66,EGY,Egypt,-0.1674301,0,2013,6.03
67,ARG,Argentina,-0.1795602,-7,2013,3.02
68,VNM,Viet Nam,-0.1860898,2,2013,4.91
69,CHL,Chile,-0.206838,-5,2013,2.03
70,JAM,Jamaica,-0.2392239,3,2013,2.04
71,TTO,Trinidad and Tobago,-0.2419052,4,2013,0.67
72,CUB,Cuba,-0.3357665,-17,2013,1.25
73,DOM,Dominican Republic,-0.3502286,3,2013,3.12
74,GTM,Guatemala,-0.3854875,-2,2013,5.3
75,KWT,Kuwait,-0.4137931,18,2013,1.87
76,OMN,Oman,-0.4220883,4,2013,2.1
77,ZMB,Zambia,-0.4236829,9,2013,5.82
78,AUS,Australia,-0.4263481,-1,2013,1.36
79,KEN,Kenya,-0.4333492,-1,2013,6.74
80,NAM,Namibia,-0.4434603,-6,2013,3.14
81,QAT,Qatar,-0.4919712,-10,2013,1.36
82,MAR,Morocco,-0.5323563,5,2013,3.43
83,ALB,Albania,-0.5627653,-2,2013,1.91
84,LKA,Sri Lanka,-0.5682077,-1,2013,3.39
85,BWA,Botswana,-0.6290607,0,2013,1.54
86,PRY,Paraguay,-0.6529082,2,2013,3.52
87,UGA,Uganda,-0.6537213,-8,2013,7
88,SEN,Senegal,-0.6577639,-6,2013,5.53
89,KAZ,Kazakhstan,-0.6999299,2,2013,2.09
90,UZB,Uzbekistan,-0.7304742,-6,2013,3.62
91,PER,Peru,-0.780396,-2,2013,2.77
92,PAK,Pakistan,-0.8305064,4,2013,5.13
93,HND,Honduras,-0.8322458,-1,2013,3.94
94,VEN,Venezuela,-0.8336459,12,2013,1.93
95,ZWE,Zimbabwe,-0.8495688,5,2013,4.93
96,KHM,Cambodia,-0.8625131,-2,2013,3.53
97,MWI,Malawi,-0.8655115,12,2013,6.54
98,IRN,Iran,-0.9047716,4,2013,1.97
99,TZA,Tanzania,-0.9497769,-4,2013,6.54
100,ECU,Ecuador,-0.9520293,-10,2013,2.12
101,GHA,Ghana,-0.9569041,6,2013,4.5
102,DZA,Algeria,-0.9721826,15,2013,2.23
103,NIC,Nicaragua,-0.9976063,-6,2013,3.07
104,MNG,Mongolia,-1.024789,11,2013,2.81
105,AGO,Angola,-1.030647,13,2013,3.71
106,CIV,Cote d'Ivoire,-1.037869,-1,2013,4.05
107,BGD,Bangladesh,-1.089275,-6,2013,3.29
108,MDG,Madagascar,-1.10168,-5,2013,5.85
109,LAO,Lao PDR,-1.18938,-5,2013,3.21
110,COG,Congo,-1.191123,9,2013,3.3
111,MOZ,Mozambique,-1.210428,-1,2013,4.63
112,BOL,Bolivia,-1.220925,-14,2013,2.97
113,SDN,Sudan,-1.384613,8,2013,
114,TKM,Turkmenistan,-1.402898,0,2013,1.57
115,AZE,Azerbaijan,-1.411335,1,2013,1.47
116,ETH,Ethiopia,-1.415318,-8,2013,4.41
117,GAB,Gabon,-1.423778,-4,2013,1.8
118,CMR,Cameroon,-1.447612,-19,2013,3.46
119,YEM,Yemen,-1.483695,-8,2013,4.45
120,PNG,Papua New Guinea,-1.581181,-8,2013,3.27
121,LBY,Libya,-1.864754,3,2013,0.69
122,NGA,Nigeria,-1.886925,0,2013,3.44
123,MRT,Mauritania,-1.934649,-3,2013,3.34
124,GIN,Guinea,-2.076716,-1,2013,4.17
