iso,year,rank_eci,name
JPN,2003,1,Japan
DEU,2003,2,Germany
CHE,2003,3,Switzerland
KOR,2003,17,South Korea
SWE,2003,4,Sweden
AUT,2003,6,Austria
CZE,2003,9,Czech Republic
FIN,2003,5,Finland
HUN,2003,18,Hungary
GBR,2003,7,United Kingdom
SVN,2003,10,Slovenia
SVK,2003,15,Slovakia
USA,2003,8,United States
ITA,2003,14,Italy
IRL,2003,12,Ireland
FRA,2003,11,France
CHN,2003,36,China
DNK,2003,13,Denmark
BEL,2003,16,Belgium
MEX,2003,22,Mexico
ISR,2003,26,Israel
NLD,2003,19,Netherlands
EST,2003,31,Estonia
THA,2003,37,Thailand
POL,2003,25,Poland
MYS,2003,27,Malaysia
ROU,2003,38,Romania
ESP,2003,21,Spain
BLR,2003,20,Belarus
HRV,2003,28,Croatia
NOR,2003,23,Norway
LTU,2003,35,Lithuania
LVA,2003,33,Latvia
PRT,2003,32,Portugal
BIH,2003,41,Bosnia and Herzegovina
BGR,2003,39,Bulgaria
CAN,2003,24,Canada
PHL,2003,63,Philippines
TUR,2003,48,Turkey
UKR,2003,29,Ukraine
IND,2003,44,India
GRC,2003,43,Greece
TUN,2003,67,Tunisia
JOR,2003,57,Jordan
NZL,2003,40,New Zealand
RUS,2003,30,Russia
URY,2003,46,Uruguay
SLV,2003,68,El Salvador
CRI,2003,60,Costa Rica
BRA,2003,34,Brazil
ZAF,2003,42,South Africa
IDN,2003,55,Indonesia
LBN,2003,47,Lebanon
VNM,2003,91,Vietnam
MDA,2003,62,Moldova
MUS,2003,73,Mauritius
EGY,2003,70,Egypt
GEO,2003,45,Georgia
COL,2003,53,Colombia
ARG,2003,51,Argentina
DOM,2003,75,Dominican Republic
ARE,2003,66,United Arab Emirates
MKD,2003,71,Macedonia
JAM,2003,78,Jamaica
CHL,2003,61,Chile
GTM,2003,76,Guatemala
LKA,2003,89,Sri Lanka
OMN,2003,87,Oman
KWT,2003,74,Kuwait
SAU,2003,49,Saudi Arabia
HND,2003,88,Honduras
SEN,2003,72,Senegal
PRY,2003,99,Paraguay
MAR,2003,86,Morocco
CUB,2003,79,Cuba
