rank,value,name,iso,year,,
1, 5.83 ,Uganda,UGA,2015,,
2, 5.78 ,India,IND,2015,,
3, 5.07 ,"Egypt, Arab Rep.",EGY,2015,,
4, 4.78 ,Tanzania,TZA,2015,,
5, 4.60 ,Senegal,SEN,2015,,
6, 4.19 ,Madagascar,MDG,2015,,
7, 4.14 ,Malawi,MWI,2015,,
8, 4.09 ,Kenya,KEN,2015,,
9, 4.07 ,Pakistan,PAK,2015,,
10, 3.91 ,Indonesia,IDN,2015,,
11, 3.87 ,Kyrgyz Republic,KGZ,2015,,
12, 3.73 ,Mali,MLI,2015,,
13, 3.73 ,Turkey,TUR,2015,,
14, 3.54 ,Philippines,PHL,2015,,
15, 3.47 ,Guatemala,GTM,2015,,
16, 3.45 ,Mozambique,MOZ,2015,,
17, 3.40 ,Vietnam,VNM,2015,,
18, 3.26 ,Angola,AGO,2015,,
19, 3.01 ,Tunisia,TUN,2015,,
20, 2.94 ,Cote d'Ivoire,CIV,2015,,
21, 2.92 ,Malaysia,MYS,2015,,
22, 2.92 ,Ethiopia,ETH,2015,,
23, 2.86 ,South Africa,ZAF,2015,,
24, 2.85 ,Zimbabwe,ZWE,2015,,
25, 2.84 ,Zambia,ZMB,2015,,
26, 2.71 ,Mexico,MEX,2015,,
27, 2.69 ,Cameroon,CMR,2015,,
28, 2.62 ,Jordan,JOR,2015,,
29, 2.52 ,Guinea,GIN,2015,,
30, 2.52 ,China,CHN,2015,,
31, 2.37 ,Thailand,THA,2015,,
32, 2.37 ,Cambodia,KHM,2015,,
33, 2.33 ,Brazil,BRA,2015,,
34, 2.28 ,Israel,ISR,2015,,
35, 2.27 ,Morocco,MAR,2015,,
36, 2.14 ,Honduras,HND,2015,,
37, 1.95 ,Dominican Republic,DOM,2015,,
38, 1.91 ,Serbia,SRB,2015,,
39, 1.87 ,Sri Lanka,LKA,2015,,
40, 1.87 ,Peru,PER,2015,,
41, 1.86 ,Argentina,ARG,2015,,
42, 1.85 ,Spain,ESP,2015,,
43, 1.83 ,Mauritania,MRT,2015,,
44, 1.80 ,"Yemen, Rep.",YEM,2015,,
45, 1.80 ,Ukraine,UKR,2015,,
46, 1.78 ,Bulgaria,BGR,2015,,
47, 1.75 ,Tajikistan,TJK,2015,,
48, 1.75 ,Bosnia and Herzegovina,BIH,2015,,
49, 1.73 ,Ghana,GHA,2015,,
50, 1.73 ,Portugal,PRT,2015,,
51, 1.72 ,Namibia,NAM,2015,,
52, 1.69 ,Canada,CAN,2015,,
53, 1.65 ,Costa Rica,CRI,2015,,
54, 1.64 ,El Salvador,SLV,2015,,
55, 1.57 ,"Congo, Rep.",COG,2015,,
56, 1.51 ,"Korea, Rep.",KOR,2015,,
57, 1.50 ,Botswana,BWA,2015,,
58, 1.44 ,Uzbekistan,UZB,2015,,
59, 1.40 ,United Kingdom,GBR,2015,,
60, 1.34 ,Lao PDR,LAO,2015,,
61, 1.31 ,Belarus,BLR,2015,,
62, 1.30 ,Colombia,COL,2015,,
63, 1.29 ,Saudi Arabia,SAU,2015,,
64, 1.25 ,Belgium,BEL,2015,,
65, 1.25 ,Switzerland,CHE,2015,,
66, 1.25 ,Slovak Republic,SVK,2015,,
67, 1.20 ,Poland,POL,2015,,
68, 1.19 ,Croatia,HRV,2015,,
69, 1.18 ,Moldova,MDA,2015,,
70, 1.16 ,Romania,ROM,2015,,
71, 1.14 ,Estonia,EST,2015,,
72, 1.14 ,Lithuania,LTU,2015,,
73, 1.09 ,Sweden,SWE,2015,,
74, 1.09 ,Ireland,IRL,2015,,
75, 1.07 ,Finland,FIN,2015,,
76, 1.06 ,Slovenia,SVN,2015,,
77, 1.05 ,Hungary,HUN,2015,,
78, 1.05 ,Nicaragua,NIC,2015,,
79, 1.03 ,Denmark,DNK,2015,,
80, 1.03 ,Netherlands,NLD,2015,,
81, 1.02 ,Paraguay,PRY,2015,,
82, 1.01 ,France,FRA,2015,,
83, 1.00 ,Latvia,LVA,2015,,
84, 0.98 ,United States,USA,2015,,
85, 0.95 ,Bangladesh,BGD,2015,,
86, 0.94 ,New Zealand,NZL,2015,,
87, 0.90 ,Czech Republic,CZE,2015,,
88, 0.90 ,Algeria,DZA,2015,,
89, 0.90 ,Bolivia,BOL,2015,,
90, 0.89 ,Greece,GRC,2015,,
91, 0.86 ,Lebanon,LBN,2015,,
92, 0.83 ,Papua New Guinea,PNG,2015,,
93, 0.79 ,Albania,ALB,2015,,
94, 0.78 ,Nigeria,NGA,2015,,
95, 0.77 ,Kazakhstan,KAZ,2015,,
96, 0.76 ,Chile,CHL,2015,,
97, 0.76 ,"Macedonia, FYR",MKD,2015,,
98, 0.71 ,Norway,NOR,2015,,
99, 0.71 ,Russian Federation,RUS,2015,,
100, 0.70 ,Georgia,GEO,2015,,
101, 0.68 ,Kuwait,KWT,2015,,
102, 0.57 ,Uruguay,URY,2015,,
103, 0.53 ,Australia,AUS,2015,,
104, 0.52 ,United Arab Emirates,ARE,2015,,
105, 0.52 ,Oman,OMN,2015,,
106, 0.52 ,Mongolia,MNG,2015,,
107, 0.47 ,"Iran, Islamic Rep.",IRN,2015,,
108, 0.36 ,Mauritius,MUS,2015,,
109, 0.35 ,Ecuador,ECU,2015,,
110, 0.27 ,Gabon,GAB,2015,,
111, 0.27 ,Austria,AUT,2015,,
112, 0.25 ,Italy,ITA,2015,,
113, 0.22 ,Japan,JPN,2015,,
114, 0.16 ,Jamaica,JAM,2015,,
115, 0.08 ,Qatar,QAT,2015,,
116,-0.01 ,Azerbaijan,AZE,2015,,
117,-0.02 ,Libya,LBY,2015,,
118,-0.42 ,Germany,DEU,2015,,
119,-0.65 ,"Venezuela, RB",VEN,2015,,
120,-0.73 ,Turkmenistan,TKM,2015,,
121,-0.84 ,Cuba,CUB,2015,,
122,-1.04 ,Trinidad and Tobago,TTO,2015,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
